ds,yhat,sku_id
2025-05-19,0.03665964879126972,46303774477
2025-05-26,0.023753005650100877,46303774477
2025-06-02,0.016280014585043037,46303774477
2025-06-09,0.025494195318397833,46303774477
2025-06-16,0.040775714335031805,46303774477
2025-06-17,0.04228634465875472,46303774477
2025-06-18,0.04348873021708499,46303774477
2025-06-19,0.04435774612834171,46303774477
2025-06-20,0.04487921041858501,46303774477
2025-06-21,0.04505028092489658,46303774477
2025-06-22,0.044879488503928915,46303774477
2025-06-23,0.044386405875285306,46303774477
2025-06-24,0.04360096298037725,46303774477
2025-06-25,0.042562430946378856,46303774477
2025-06-26,0.041318107259867544,46303774477
2025-06-27,0.03992174424425847,46303774477
2025-06-28,0.03843177110154074,46303774477
2025-06-29,0.036909366363183274,46303774477
2025-06-30,0.035416442389798415,46303774477
